post_id,postUser,timestamp,likesCount,commentsCount,combined_keywords
206,camilacoelho,2023-04-18 20:18:58+00:00,162482,565,"['festival', 'fun', 'time', 'revolvefestival', 'weekend', 'festivalfashion', 'ootd']"
207,matildadjerf,2023-05-05 18:33:56+00:00,147298,142,"['small', 'little', 'pockets', 'day', 'butterfly']"
208,matildadjerf,2023-05-06 17:58:43+00:00,245634,348,['fairy']
209,matildadjerf,2023-05-08 18:26:04+00:00,186887,170,['living']
210,matildadjerf,2023-05-02 18:43:53+00:00,155715,210,"['highlights', 'last', 'two', 'weeks']"
211,matildadjerf,2023-05-03 19:01:05+00:00,113716,126,['soooooooon']
212,josefinehj,2023-05-20 11:23:27+00:00,16645,76,"['copenhagen', 'spring']"
213,matildadjerf,2023-05-07 18:59:00+00:00,220198,228,"['wine glass', 'white heart']"
214,matildadjerf,2023-05-01 18:42:30+00:00,153650,197,"['long', 'weekend', 'home', 'rainbow']"
215,fashionmuniz,2023-05-24 21:47:26+00:00,15,0,"['de', 'volta', 'calça', 'couro', 'jandira']"
